gorovje,izhodišče,višina_izhodišča,cilj,višina_cilja,opomba_poti,čas_hoje,zahtevnost,višinska_razlika_po_poti,število_ogledov,ocena,število_glasov,širina_cilja,dolžina_cilja,vrsta_cilja
Julijske Alpe,Aljažev dom v Vratih,1015,Gubno,2403,,285,lahko brezpotje,1388,8564,7,3,"46,50064","13,96126",vrh
Julijske Alpe,Pišnica,850,Gubno,2403,,335,"zelo zahtevna označena pot, lahko brezpotje",1570,340,10,1,"46,50064","13,96126",vrh
Julijske Alpe,Gozdec,1075,Visoki Kanin,2587,čez Zadnji dol,300,zelo zahtevna označena pot,1600,19888,8,2,"46,36018","13,439",vrh
Julijske Alpe,D Postaja,2202,Visoki Kanin,2587,,150,zelo zahtevna označena pot,750,48614,8,3,"46,36018","13,439",vrh
Julijske Alpe,Nevejski preval,1170,Visoki Kanin,2587,Via ferrata Rosalba Grasselli,375,zelo zahtevna označena pot,1500,14832,10,3,"46,36018","13,439",vrh
Julijske Alpe,Nevejski preval,1170,Visoki Kanin,2587,Via ferrata Divisione Julia,285,zelo zahtevna označena pot,1430,23986,10,2,"46,36018","13,439",vrh
Julijske Alpe,D Postaja,2202,Mali Kanin,2571,,165,zelo zahtevna označena pot,600,12143,5,3,"46,35727","13,43765",vrh
Julijske Alpe,Vršič,1611,Zadnja Mojstrovka,2354,čez Šitno glavo,195,zahtevno brezpotje,800,11077,9,1,"46,43403","13,72334",vrh
Julijske Alpe,Vršič,1611,Travnik,2379,po grebenu,270,zahtevno brezpotje,950,14131,10,2,"46,42902","13,71316",vrh
Julijske Alpe,Vršič,1611,Kol,2350,po grebenu,285,zahtevno brezpotje,1000,9812,10,4,"46,42756","13,70943",vrh
Julijske Alpe,Zadnjica,650,Šplevta (Indijanec),2382,,330,lahko brezpotje,1760,7912,10,2,"46,4137","13,79895",vrh
Julijske Alpe,Aljažev dom v Vratih,1015,Šplevta (Indijanec),2382,,360,"delno zahtevna označena pot, lahko brezpotje",1565,2739,10,2,"46,4137","13,79895",vrh
Julijske Alpe,Zadnjica,650,Kriški rob,2366,,315,zahtevno brezpotje,1725,5719,9,1,"46,40943","13,80196",vrh
Julijske Alpe,Aljažev dom v Vratih,1015,Kriški rob,2366,čez Sovatno in mimo Pogačnikovega doma,345,"delno zahtevna označena pot, zahtevno brezpotje",1530,2324,10,2,"46,40943","13,80196",vrh
Julijske Alpe,Bavšica,698,Briceljk,2346,,300,zahtevna neoznačena steza,1648,15303,10,2,"46,39508","13,63191",vrh
Julijske Alpe,Loška Koritnica,780,Plešivec (Loška stena),2184,,225,"zelo zahtevna označena pot, delno zahtevna neoznačena pot",1404,11850,8,2,"46,4102","13,66046",vrh
Julijske Alpe,Bavšica,698,Plešivec (Loška stena),2184,,270,delno zahtevna neoznačena pot,1486,6755,10,2,"46,4102","13,66046",vrh
Julijske Alpe,Bavšica,698,Mali Ozebnik,2324,,300,"zelo zahtevna označena pot, zelo zahtevno brezpotje",1640,5056,8,3,"46,4072","13,6686",vrh
Julijske Alpe,Gozd Martuljek,750,Široka peč,2497,,300,zelo zahtevno brezpotje,1750,16064,10,6,"46,44396","13,8426",vrh
Julijske Alpe,Gozd Martuljek,750,Mala Martuljška Ponca,2501,,390,zelo zahtevno brezpotje,1800,11326,5,2,"46,44339","13,82059",vrh
Julijske Alpe,Dolina Krma,944,Vrh Snežne konte,2342,,285,lahko brezpotje,1398,5648,9,1,"46,37691","13,85545",vrh
Julijske Alpe,Konec ceste na Pokljuki,1340,Vrh Snežne konte,2342,,285,"zahtevna označena pot, lahko brezpotje",1200,520,10,1,"46,37691","13,85545",vrh
Julijske Alpe,Uskovnica ,1215,Vrh Snežne konte,2342,čez planino Spodnji Tosc,315,"zahtevna označena pot, lahko brezpotje",1350,320,10,1,"46,37691","13,85545",vrh
Julijske Alpe,Gozd Martuljek,750,Na Pečeh,2039,čez Kotle,270,"zahtevna neoznačena steza, lahko brezpotje",1300,7622,9,2,"46,44889","13,82604",vrh
Julijske Alpe,Dolina Krma,930,Vernar,2225,,270,zelo zahtevno brezpotje,1300,9613,7,3,"46,36116","13,86152",vrh
Julijske Alpe,Konec ceste na Pokljuki,1340,Vernar,2225,,255,zelo zahtevno brezpotje,1000,10814,9,5,"46,36116","13,86152",vrh
Julijske Alpe,Stara Fužina,600,Vernar,2225,,360,zelo zahtevno brezpotje,1665,3489,9,3,"46,36116","13,86152",vrh
Julijske Alpe,Planina Blato,1147,Vernar,2225,čez Grintovico,300,zelo zahtevno brezpotje,1230,1512,10,2,"46,36116","13,86152",vrh
Julijske Alpe,Uskovnica ,1215,Vernar,2225,,285,zelo zahtevno brezpotje,1215,1133,10,2,"46,36116","13,86152",vrh
Julijske Alpe,Srednja vas,583,Vernar,2225,Za Ribnico in čez planino Spodnji Tosc,375,zelo zahtevno brezpotje,1825,230,10,1,"46,36116","13,86152",vrh
Julijske Alpe,Uskovnica ,1076,Vernar,2225,,290,zelo zahtevno brezpotje,1330,284,10,2,"46,36116","13,86152",vrh
Julijske Alpe,Planina Blato,1147,Kanjavec,2569,po Dolini za Debelim vrhom,345,lahko brezpotje,1620,10780,9,3,"46,3602","13,80966",vrh
Julijske Alpe,Planina Blato,1147,Kanjavec,2569,po Dolini za Mišelj vrhom,375,lahko brezpotje,1720,8513,9,2,"46,3602","13,80966",vrh
Julijske Alpe,Zadnjica,650,Kanjavec,2569,čez Dolič,375,zahtevna označena pot,1950,26117,8,2,"46,3602","13,80966",vrh
Julijske Alpe,Zadnjica,690,Kanjavec,2569,čez Prehodavce,375,lahka označena pot,1965,34707,9,2,"46,3602","13,80966",vrh
Julijske Alpe,Planina Blato,1147,Kanjavec,2569,Za Kopico,345,lahka označena pot,1600,30988,8,8,"46,3602","13,80966",vrh
Julijske Alpe, Planina Blato,1147,Kanjavec,2569,čez Planino Krstenico in po Dolini za Debelim vrhom,360,lahko brezpotje,1500,7873,10,2,"46,3602","13,80966",vrh
Julijske Alpe,Koča pri Savici,653,Kanjavec,2569,čez Triglavska jezera,360,zahtevna označena pot,2000,28788,9,3,"46,3602","13,80966",vrh
Julijske Alpe,Aljažev dom v Vratih,1015,Kanjavec,2569,,430,zahtevna označena pot,1900,580,10,1,"46,3602","13,80966",vrh
Julijske Alpe,Drežnica,553,Krn,2244,pot Silva Korena,300,zelo zahtevna označena pot,1691,77169,9,12,"46,26607","13,65862",vrh
Julijske Alpe,Drežnica,553,Krn,2244,južna pot,300,lahka označena pot,1691,26147,8,2,"46,26607","13,65862",vrh
Julijske Alpe,Koča pri Savici,653,Krn,2244,mimo Krnskega jezera,465,lahka označena pot,2050,38566,10,2,"46,26607","13,65862",vrh
Julijske Alpe,Planina Kuhinja,991,Krn,2244,mimo jezera v Lužnici,285,delno zahtevna označena pot,1400,29452,10,2,"46,26607","13,65862",vrh
Julijske Alpe,Planina Zaprikraj,1208,Krn,2244,,450,zahtevna označena pot,1200,11262,10,2,"46,26607","13,65862",vrh
Julijske Alpe,Planina Polog,457,Krn,2244,čez planino Sleme,390,delno zahtevna označena pot,1970,6286,10,1,"46,26607","13,65862",vrh
Julijske Alpe, Planina Polog,457,Krn,2244,čez Prehodce,405,delno zahtevna označena pot,1950,8158,10,2,"46,26607","13,65862",vrh
Julijske Alpe,Planina Kuhinja,991,Krn,2244,,195,lahka označena pot,1253,141909,9,9,"46,26607","13,65862",vrh
Julijske Alpe,Dom v Lepeni,700,Krn,2244,,300,lahka označena pot,1575,98637,9,14,"46,26607","13,65862",vrh
Julijske Alpe,Krn,900,Krn,2244,čez planino Sleme,325,delno zahtevna označena pot,1585,9265,10,1,"46,26607","13,65862",vrh
Julijske Alpe,Koča pri Savici,653,Krn,2244,čez Prehodce,470,delno zahtevna označena pot,1950,11893,10,1,"46,26607","13,65862",vrh
Julijske Alpe,Koča na planini Kuhinja,1002,Krn,2244,,190,lahka označena pot,1242,6790,10,1,"46,26607","13,65862",vrh
Julijske Alpe,Konec ceste na Vogar,1350,Mala Tičarica,2071,čez Štapce,215,lahka označena pot,915,7596,8,2,"46,3202","13,78512",vrh
Julijske Alpe,Planina Blato,1147,Mala Tičarica,2071,snežni pristop,210,lahko brezpotje,1000,5738,10,2,"46,3202","13,78512",vrh
Julijske Alpe,Planina Blato,1147,Mala Tičarica,2071,čez Štapce,210,lahka označena pot,1100,23287,8,4,"46,3202","13,78512",vrh
Julijske Alpe,Koča pri Savici,653,Mala Tičarica,2071,,240,zahtevna označena pot,1418,10524,9,3,"46,3202","13,78512",vrh
Julijske Alpe,Planina Polog,457,Tolminski Kuk,2085,čez planino Dobrenjščico,375,"lahko brezpotje, zahtevna označena pot",1850,5440,9,3,"46,2605","13,7568",vrh
Julijske Alpe,Planina Kuk,1150,Tolminski Kuk,2085,,270,delno zahtevna označena pot,1100,28300,9,10,"46,2605","13,7568",vrh
Julijske Alpe,Koča pri Savici,653,Tolminski Kuk,2085,mimo Doma na Komni in čez Škrbino,405,delno zahtevna označena pot,1750,6304,10,1,"46,2605","13,7568",vrh
Julijske Alpe,Ukanc,570,Tolminski Kuk,2085,,330,"lahka neoznačena steza, delno zahtevna označena pot",1625,5309,10,1,"46,2605","13,7568",vrh
Julijske Alpe,Ski hotel Vogel,1540,Tolminski Kuk,2085,,335,delno zahtevna označena pot,1000,5398,10,1,"46,2605","13,7568",vrh
Julijske Alpe,Tolminske Ravne,924,Tolminski Kuk,2085,čez planino Razor,285,zahtevna označena pot,1315,940,10,1,"46,2605","13,7568",vrh
Julijske Alpe,Koča pri Savici,653,Tolminski Kuk,2085,čez Vrh Planje,375,zahtevna označena pot,1800,8649,8,2,"46,2605","13,7568",vrh
Julijske Alpe, Koča pri Savici,653,Tolminski Kuk,2085,direktna pot,345,zahtevna neoznačena steza,1600,7157,8,2,"46,2605","13,7568",vrh
Julijske Alpe,Planina Blato,1147,Vrh Hribaric,2388,čez Planino v Lazu in po Dolini za Debelim vrhom,300,lahko brezpotje,1300,4244,10,2,"46,34948","13,8178",vrh
Julijske Alpe,Planina Blato,1147,Vrh Hribaric,2388,čez Planino Krstenico in po Dolini za Debelim vrhom,315,lahko brezpotje,1300,3623,10,1,"46,34948","13,8178",vrh
Julijske Alpe,Zadnjica,690,Vrh Hribaric,2388,čez Dolič,360,lahko brezpotje,1725,3940,10,1,"46,34948","13,8178",vrh
Julijske Alpe,Koča pri Savici,653,Vrh Hribaric,2388,,360,"zahtevna označena pot, lahko brezpotje",1800,3505,10,1,"46,34948","13,8178",vrh
Julijske Alpe,Planina Blato,1147,Vršaki (Vzhodni vrh),2448,čez Planino v Lazu in po Dolini za Debelim vrhom,300,lahko brezpotje,1350,3199,10,1,"46,3507","13,808",vrh
Julijske Alpe,Planina Blato,1147,Vršaki (Vzhodni vrh),2448,čez Planino Krstenico in po Dolini za Debelim vrhom,315,lahko brezpotje,1350,3284,10,1,"46,3507","13,808",vrh
Julijske Alpe,Koča pri Savici,653,Vršaki (Vzhodni vrh),2448,,360,"zahtevna označena pot, lahko brezpotje",1815,3150,10,1,"46,3507","13,808",vrh
Julijske Alpe,Zadnjica,690,Vršaki (Vzhodni vrh),2448,čez Dolič,375,lahko brezpotje,1775,2978,10,1,"46,3507","13,808",vrh
Julijske Alpe,Planina Blato,1147,Vršaki (Srednji vrh),2424,čez Planino v Lazu in po Dolini za Debelim vrhom,320,lahko brezpotje,1400,2385,9,1,"46,3496","13,8053",vrh
Julijske Alpe, Planina Blato,1147,Vršaki (Srednji vrh),2424,čez Planino Krstenico in po Dolini za Debelim vrhom,335,lahko brezpotje,1400,2680,10,2,"46,3496","13,8053",vrh
Julijske Alpe,Planina Blato,1147,Vršaki (Vrh za Koritami),2422,čez Planino v Lazu in po Dolini za Debelim vrhom,340,lahko brezpotje,1450,2172,10,1,"46,3488","13,8029",vrh
Julijske Alpe, Planina Blato,1147,Vršaki (Vrh za Koritami),2422, čez Planino Krstenico in po Dolini za Debelim vrhom,355,lahko brezpotje,1450,2625,10,3,"46,3488","13,8029",vrh
Julijske Alpe,Planina Blato,1147,Vršaki (Južni vrh),2431,čez Planino v Lazu in po Dolini za Debelim vrhom,350,lahko brezpotje,1500,3245,10,2,"46,3475","13,8024",vrh
Julijske Alpe, Planina Blato,1147,Vršaki (Južni vrh),2431,čez Planino Krstenico in po Dolini za Debelim vrhom,365,lahko brezpotje,1500,2543,10,1,"46,3475","13,8024",vrh
Julijske Alpe,Planina Blato,1147,Kanjavec (Zahodni vrh),2569,čez Planino v Lazu in po Dolini za Debelim vrhom,345,lahko brezpotje,1500,4709,10,2,"46,3601","13,8073",vrh
Julijske Alpe, Planina Blato,1147,Kanjavec (Zahodni vrh),2569,čez Planino Krstenico in po Dolini za Debelim vrhom,360,lahko brezpotje,1500,3709,10,1,"46,3601","13,8073",vrh
Julijske Alpe,Zadnjica,650,Kanjavec (Zahodni vrh),2569,čez Prehodavce,375,"lahka označena pot, lahka neoznačena steza",1960,7304,7,2,"46,3601","13,8073",vrh
Julijske Alpe,Zadnjica,650,Kanjavec (Zahodni vrh),2569,čez Dolič,390,"zahtevna označena pot, lahka neoznačena steza",1950,5671,9,1,"46,3601","13,8073",vrh
Julijske Alpe,Planina Blato,1147,Teme (Hribarice),2495,čez Planino v Lazu in po Dolini za Debelim vrhom,365,lahko brezpotje,1500,4746,10,1,"46,3575","13,8044",vrh
Julijske Alpe, Planina Blato,1147,Teme (Hribarice),2495,čez Planino Krstenico in po Dolini za Debelim vrhom,380,lahko brezpotje,1500,3448,10,1,"46,3575","13,8044",vrh
Julijske Alpe,Planina Blato,1147,Poprovec,2496,čez Planino v Lazu in po Dolini za Debelim vrhom,380,lahko brezpotje,1525,4106,10,2,"46,35583","13,80273",vrh
Julijske Alpe, Planina Blato,1147,Poprovec,2496,čez Planino Krstenico in po Dolini za Debelim vrhom,395,lahko brezpotje,1525,2827,10,2,"46,35583","13,80273",vrh
Julijske Alpe,Zadnjica,690,Poprovec,2496,čez Dolič,410,"zahtevna označena pot, lahko brezpotje",1950,5130,10,1,"46,35583","13,80273",vrh
Julijske Alpe,Dolina Kot,950,Cmir,2393,,360,zahtevna označena pot,1700,17478,9,4,"46,40065","13,86007",vrh
Julijske Alpe,Dolina Krma,944,Cmir,2393,,435,zelo zahtevna označena pot,1780,650,7,3,"46,40065","13,86007",vrh
Julijske Alpe,Aljažev dom v Vratih,1015,Cmir,2393,čez Prag,390,zahtevna označena pot,1600,8020,8,3,"46,40065","13,86007",vrh
Julijske Alpe, Aljažev dom v Vratih,1015,Cmir,2393,Tominškova pot,380,zelo zahtevna označena pot,1600,14278,9,3,"46,40065","13,86007",vrh
Julijske Alpe,Planina Polog,457,Srednji vrh,2032,,315,"lahka označena pot, lahko brezpotje",1650,3028,9,1,"46,2609","13,6767",vrh
Julijske Alpe,Krn,900,Srednji vrh,2032,čez planino Sleme,250,"lahka označena pot, lahko brezpotje",1250,5114,9,1,"46,2609","13,6767",vrh
Julijske Alpe,Konec ceste na Pokljuki,1340,Šmarjetna glava,2358,,340,zahtevno brezpotje,1315,5313,9,1,"46,36433","13,82715",vrh
Julijske Alpe,Dolina Krma,944,Šmarjetna glava,2358,,370,zahtevno brezpotje,1725,3475,10,1,"46,36433","13,82715",vrh
Julijske Alpe,Zadnjica,650,Šmarjetna glava,2358,,360,zahtevno brezpotje,1715,3682,10,1,"46,36433","13,82715",vrh
Julijske Alpe,Aljažev dom v Vratih,1015,Šmarjetna glava,2358,mimo Koče na Doliču,415,zahtevno brezpotje,1700,480,10,1,"46,36433","13,82715",vrh
Julijske Alpe,Belopeška jezera,929,Vevnica,2342,pot življenja / Via della Vita,360,izjemno zahtevna označena pot,1415,39669,9,10,"46,43963","13,68566",vrh
Julijske Alpe,Belopeška jezera,929,Strug,2265,pot življenja / Via della Vita - Vevnica - Strug,540,izjemno zahtevna označena pot,1600,18471,9,7,"46,4441","13,6939",vrh
Julijske Alpe,Aljažev dom v Vratih,1015,Spodnji Stenar,2356,čez Sovatno,300,"delno zahtevna označena pot, lahko brezpotje",1350,4412,9,2,"46,4073","13,8155",vrh
Julijske Alpe,Planina Zapleč,1201,Krnčica,2142,neoznačena mulatjera ,180,delno zahtevna neoznačena pot,941,12096,9,1,"46,2798","13,6518",vrh
Julijske Alpe,Planina Zapleč,1201,Krnčica,2142,s planine Zaprikraj čez Vršič,240,delno zahtevna neoznačena pot,941,7248,9,1,"46,2798","13,6518",vrh
Julijske Alpe,Planina Blato,1147,Škednjovec,2309,po zahodnem grebenu,270,zelo zahtevno brezpotje,1162,10860,8,6,,,
Julijske Alpe,Planina Blato,1147,Škednjovec,2309,po vzhodnem grebenu,240,zelo zahtevno brezpotje,1162,1840,9,5,,,
Julijske Alpe,Zadnjica,650,Pogačnikov dom na Kriških podih,2050,,240,lahka označena pot,1400,114401,9,8,"46,40273","13,80077","vrh, koča, bivak"
Julijske Alpe,Aljažev dom v Vratih,1015,Pogačnikov dom na Kriških podih,2050,čez Sovatno,270,delno zahtevna označena pot,1200,50492,8,6,"46,40273","13,80077","vrh, koča, bivak"
Julijske Alpe,Pišnica,850,Pogačnikov dom na Kriških podih,2050,,345,zelo zahtevna označena pot,1550,390,7,2,"46,40273","13,80077","vrh, koča, bivak"
Julijske Alpe,Ruski križ,1000,Pogačnikov dom na Kriških podih,2050,čez Kriško steno,310,zelo zahtevna označena pot,1400,17526,8,1,"46,40273","13,80077","vrh, koča, bivak"
Julijske Alpe,Zadnjica,650,Glava v Zaplanji,2556,čez Plemenice,375,"zelo zahtevna označena pot, lahka neoznačena steza",1910,5146,8,2,"46,3767","13,82755",vrh
Julijske Alpe,Aljažev dom v Vratih,1015,Glava v Zaplanji,2556,čez Plemenice,330,"zelo zahtevna označena pot, lahka neoznačena steza",1541,7836,7,3,"46,3767","13,82755",vrh
Julijske Alpe,Zadnjica,650,Glava v Zaplanji,2556,čez Dolič,390,lahka neoznačena steza,1950,9900,8,3,"46,3767","13,82755",vrh
Julijske Alpe,Planina Blato,1147,Glava v Zaplanji,2556,Za Kopico,420,lahka neoznačena steza,1700,5002,9,2,"46,3767","13,82755",vrh
Julijske Alpe,Koča pri Savici,653,Rjavo jezero,2006,,285,zahtevna označena pot,1400,6694,8,2,"46,35541","13,79558",jezero
Julijske Alpe,Planina  Blato,1147,Rjavo jezero,2006,čez Štapce,300,delno zahtevna označena pot,1200,4854,8,2,"46,35541","13,79558",jezero
Julijske Alpe,Planina Blato,1147,Rjavo jezero,2006,Za Kopico,285,lahka označena pot,1150,7665,8,1,"46,35541","13,79558",jezero
